testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,full-load,100,p0g2,1522690208444,20:30:08.444,33
pingAllIntermediate,full-load,100,p0g2,1522690208482,20:30:08.482,38
pingAllIntermediate,full-load,100,p0g2,1522690208511,20:30:08.511,29
pingAllIntermediate,full-load,100,p0g2,1522690208547,20:30:08.547,36
pingAllIntermediate,full-load,100,p0g2,1522690208594,20:30:08.594,47
pingAllIntermediate,full-load,100,p0g2,1522690208630,20:30:08.630,36
pingAllIntermediate,full-load,100,p0g2,1522690208678,20:30:08.678,48
pingAllIntermediate,full-load,100,p0g2,1522690208709,20:30:08.709,31
pingAllIntermediate,full-load,100,p0g2,1522690208744,20:30:08.744,35
pingAllIntermediate,full-load,100,p0g2,1522690208781,20:30:08.781,37
pingAllIntermediate,full-load,100,p0g2,1522690208810,20:30:08.810,29
pingAllIntermediate,full-load,100,p0g2,1522690208858,20:30:08.858,48
pingAllIntermediate,full-load,100,p0g2,1522690208903,20:30:08.903,45
pingAllIntermediate,full-load,100,p0g2,1522690208933,20:30:08.933,30
pingAllIntermediate,full-load,100,p0g2,1522690208970,20:30:08.970,37
pingAllIntermediate,full-load,100,p0g2,1522690209003,20:30:09.003,33
pingAllIntermediate,full-load,100,p0g2,1522690209030,20:30:09.030,27
pingAllIntermediate,full-load,100,p0g2,1522690209062,20:30:09.062,32
pingAllIntermediate,full-load,100,p0g2,1522690209091,20:30:09.091,29
pingAllIntermediate,full-load,100,p0g2,1522690209122,20:30:09.122,31
pingAllIntermediate,full-load,100,p0g2,1522690209163,20:30:09.163,41
pingAllIntermediate,full-load,100,p0g2,1522690209208,20:30:09.208,45
pingAllIntermediate,full-load,100,p0g2,1522690209232,20:30:09.232,24
pingAllIntermediate,full-load,100,p0g2,1522690209262,20:30:09.262,30
pingAllIntermediate,full-load,100,p0g2,1522690209309,20:30:09.309,47
pingAllIntermediate,full-load,100,p0g2,1522690209350,20:30:09.350,41
pingAllIntermediate,full-load,100,p0g2,1522690209392,20:30:09.392,42
pingAllIntermediate,full-load,100,p0g2,1522690209463,20:30:09.463,71
pingAllIntermediate,full-load,100,p0g2,1522690209503,20:30:09.503,40
pingAllIntermediate,full-load,100,p0g2,1522690209555,20:30:09.555,52
pingAllIntermediate,full-load,100,p0g2,1522690209589,20:30:09.589,34
pingAllIntermediate,full-load,100,p0g2,1522690209623,20:30:09.623,34
pingAllIntermediate,full-load,100,p0g2,1522690209663,20:30:09.663,40
pingAllIntermediate,full-load,100,p0g2,1522690209704,20:30:09.704,41
pingAllIntermediate,full-load,100,p0g2,1522690209731,20:30:09.731,27
pingAllIntermediate,full-load,100,p0g2,1522690209825,20:30:09.825,94
pingAllIntermediate,full-load,100,p0g2,1522690209862,20:30:09.862,37
pingAllIntermediate,full-load,100,p0g2,1522690209891,20:30:09.891,29
pingAllIntermediate,full-load,100,p0g2,1522690209923,20:30:09.923,31
pingAllIntermediate,full-load,100,p0g2,1522690209953,20:30:09.953,30
pingAllIntermediate,full-load,100,p0g2,1522690209988,20:30:09.988,35
pingAllIntermediate,full-load,100,p0g2,1522690210027,20:30:10.027,39
pingAllIntermediate,full-load,100,p0g2,1522690210083,20:30:10.083,56
pingAllIntermediate,full-load,100,p0g2,1522690210124,20:30:10.124,41
pingAllIntermediate,full-load,100,p0g2,1522690210152,20:30:10.152,28
pingAllIntermediate,full-load,100,p0g2,1522690210188,20:30:10.188,36
pingAllIntermediate,full-load,100,p0g2,1522690210222,20:30:10.222,34
pingAllIntermediate,full-load,100,p0g2,1522690210251,20:30:10.251,29
pingAllIntermediate,full-load,100,p0g2,1522690210283,20:30:10.283,32
pingAllIntermediate,full-load,100,p0g2,1522690210313,20:30:10.313,30
pingAllIntermediate,full-load,100,p0g2,1522690210350,20:30:10.350,37
pingAllIntermediate,full-load,100,p0g2,1522690210383,20:30:10.383,33
pingAllIntermediate,full-load,100,p0g2,1522690210422,20:30:10.422,39
pingAllIntermediate,full-load,100,p0g2,1522690210451,20:30:10.451,29
pingAllIntermediate,full-load,100,p0g2,1522690210482,20:30:10.482,31
pingAllIntermediate,full-load,100,p0g2,1522690210523,20:30:10.523,41
pingAllIntermediate,full-load,100,p0g2,1522690210550,20:30:10.550,27
pingAllIntermediate,full-load,100,p0g2,1522690210582,20:30:10.582,32
pingAllIntermediate,full-load,100,p0g2,1522690210610,20:30:10.610,28
pingAllIntermediate,full-load,100,p0g2,1522690210638,20:30:10.638,28
pingAllIntermediate,full-load,100,p0g2,1522690210669,20:30:10.669,31
pingAllIntermediate,full-load,100,p0g2,1522690210703,20:30:10.703,34
pingAllIntermediate,full-load,100,p0g2,1522690210730,20:30:10.730,27
pingAllIntermediate,full-load,100,p0g2,1522690210763,20:30:10.763,33
pingAllIntermediate,full-load,100,p0g2,1522690210788,20:30:10.788,25
pingAllIntermediate,full-load,100,p0g2,1522690210822,20:30:10.822,34
pingAllIntermediate,full-load,100,p0g2,1522690210865,20:30:10.865,43
pingAllIntermediate,full-load,100,p0g2,1522690210902,20:30:10.902,37
pingAllIntermediate,full-load,100,p0g2,1522690210929,20:30:10.929,27
pingAllIntermediate,full-load,100,p0g2,1522690210979,20:30:10.979,50
pingAllIntermediate,full-load,100,p0g2,1522690211030,20:30:11.030,51
pingAllIntermediate,full-load,100,p0g2,1522690211067,20:30:11.067,37
pingAllIntermediate,full-load,100,p0g2,1522690211109,20:30:11.109,42
pingAllIntermediate,full-load,100,p0g2,1522690211147,20:30:11.147,38
pingAllIntermediate,full-load,100,p0g2,1522690211179,20:30:11.179,32
pingAllIntermediate,full-load,100,p0g2,1522690211228,20:30:11.228,49
pingAllIntermediate,full-load,100,p0g2,1522690211268,20:30:11.268,40
pingAllIntermediate,full-load,100,p0g2,1522690211329,20:30:11.329,61
pingAllIntermediate,full-load,100,p0g2,1522690211369,20:30:11.369,40
pingAllIntermediate,full-load,100,p0g2,1522690211412,20:30:11.412,43
pingAllIntermediate,full-load,100,p0g2,1522690211439,20:30:11.439,27
pingAllIntermediate,full-load,100,p0g2,1522690211470,20:30:11.470,31
pingAllIntermediate,full-load,100,p0g2,1522690211502,20:30:11.502,32
pingAllIntermediate,full-load,100,p0g2,1522690211530,20:30:11.530,28
pingAllIntermediate,full-load,100,p0g2,1522690211562,20:30:11.562,32
pingAllIntermediate,full-load,100,p0g2,1522690211606,20:30:11.606,44
pingAllIntermediate,full-load,100,p0g2,1522690211630,20:30:11.630,24
pingAllIntermediate,full-load,100,p0g2,1522690211671,20:30:11.671,41
pingAllIntermediate,full-load,100,p0g2,1522690211702,20:30:11.702,31
pingAllIntermediate,full-load,100,p0g2,1522690211730,20:30:11.730,28
pingAllIntermediate,full-load,100,p0g2,1522690211762,20:30:11.762,32
pingAllIntermediate,full-load,100,p0g2,1522690211789,20:30:11.789,27
pingAllIntermediate,full-load,100,p0g2,1522690211822,20:30:11.822,33
pingAllIntermediate,full-load,100,p0g2,1522690211850,20:30:11.850,28
pingAllIntermediate,full-load,100,p0g2,1522690211882,20:30:11.882,32
pingAllIntermediate,full-load,100,p0g2,1522690211922,20:30:11.922,40
pingAllIntermediate,full-load,100,p0g2,1522690211950,20:30:11.950,28
pingAllIntermediate,full-load,100,p0g2,1522690211983,20:30:11.983,33
pingAllIntermediate,full-load,100,p0g2,1522690212022,20:30:12.022,39
pingAllIntermediate,full-load,100,p0g2,1522690212062,20:30:12.062,40
