testGroup,phase,iterations,pid,timestamp,time,latency
pingSingle,N/A,-1,p0g2,1522690204842,20:30:04.842,43
pingSingle,N/A,-1,p1g2,1522690205061,20:30:05.061,110
pingSingle,N/A,-1,p0g2,1522690205120,20:30:05.120,21
pingSingle,N/A,-1,p1g2,1522690205135,20:30:05.135,33
pingSingle,N/A,-1,p0g2,1522690205209,20:30:05.209,23
pingSingle,N/A,-1,p1g2,1522690205226,20:30:05.226,42
pingSingle,N/A,-1,p1g2,1522690205309,20:30:05.309,26
pingSingle,N/A,-1,p0g2,1522690205326,20:30:05.326,40
pingSingle,N/A,-1,p0g2,1522690205386,20:30:05.386,20
pingSingle,N/A,-1,p1g2,1522690205403,20:30:05.403,34
pingSingle,N/A,-1,p0g2,1522690205494,20:30:05.494,28
pingSingle,N/A,-1,p1g2,1522690205509,20:30:05.509,44
pingSingle,N/A,-1,p1g2,1522690205734,20:30:05.734,171
pingSingle,N/A,-1,p0g2,1522690205755,20:30:05.755,24
pingSingle,N/A,-1,p0g2,1522690205837,20:30:05.837,34
pingSingle,N/A,-1,p1g2,1522690205854,20:30:05.854,40
pingSingle,N/A,-1,p0g2,1522690205916,20:30:05.916,18
pingSingle,N/A,-1,p1g2,1522690205935,20:30:05.935,32
pingSingle,N/A,-1,p0g2,1522690206006,20:30:06.006,28
pingSingle,N/A,-1,p1g2,1522690206025,20:30:06.025,42
pingSingle,N/A,-1,p0g2,1522690206093,20:30:06.093,18
pingSingle,N/A,-1,p1g2,1522690206115,20:30:06.115,33
pingSingle,N/A,-1,p0g2,1522690206194,20:30:06.194,29
pingSingle,N/A,-1,p1g2,1522690206216,20:30:06.216,33
pingSingle,N/A,-1,p1g2,1522690206277,20:30:06.277,8
pingSingle,N/A,-1,p0g2,1522690206294,20:30:06.294,34
pingSingle,N/A,-1,p1g2,1522690206367,20:30:06.367,17
pingSingle,N/A,-1,p0g2,1522690206360,20:30:06.360,14
pingSingle,N/A,-1,p0g2,1522690206408,20:30:06.408,20
pingSingle,N/A,-1,p1g2,1522690206421,20:30:06.421,17
pingSingle,N/A,-1,p0g2,1522690206462,20:30:06.462,13
pingSingle,N/A,-1,p1g2,1522690206493,20:30:06.493,28
pingSingle,N/A,-1,p0g2,1522690206546,20:30:06.546,21
pingSingle,N/A,-1,p1g2,1522690206565,20:30:06.565,15
pingSingle,N/A,-1,p0g2,1522690206604,20:30:06.604,14
pingSingle,N/A,-1,p1g2,1522690206623,20:30:06.623,18
pingSingle,N/A,-1,p0g2,1522690206678,20:30:06.678,22
pingSingle,N/A,-1,p1g2,1522690206683,20:30:06.683,16
pingSingle,N/A,-1,p0g2,1522690206718,20:30:06.718,10
pingSingle,N/A,-1,p1g2,1522690206731,20:30:06.731,1
pingSingle,N/A,-1,p0g2,1522690206767,20:30:06.767,13
pingSingle,N/A,-1,p1g2,1522690206984,20:30:06.984,218
pingSingle,N/A,-1,p0g2,1522690207018,20:30:07.018,11
pingSingle,N/A,-1,p1g2,1522690207053,20:30:07.053,31
pingSingle,N/A,-1,p0g2,1522690207092,20:30:07.092,7
pingSingle,N/A,-1,p1g2,1522690207110,20:30:07.110,2
pingSingle,N/A,-1,p0g2,1522690207148,20:30:07.148,7
pingSingle,N/A,-1,p1g2,1522690207173,20:30:07.173,5
pingSingle,N/A,-1,p0g2,1522690207200,20:30:07.200,13
pingSingle,N/A,-1,p1g2,1522690207242,20:30:07.242,40
pingSingle,N/A,-1,p0g2,1522690207279,20:30:07.279,17
pingSingle,N/A,-1,p1g2,1522690207298,20:30:07.298,13
pingSingle,N/A,-1,p0g2,1522690207325,20:30:07.325,12
pingSingle,N/A,-1,p1g2,1522690207343,20:30:07.343,1
pingSingle,N/A,-1,p0g2,1522690207371,20:30:07.371,12
pingSingle,N/A,-1,p1g2,1522690207390,20:30:07.390,11
pingSingle,N/A,-1,p0g2,1522690207424,20:30:07.424,16
pingSingle,N/A,-1,p1g2,1522690207447,20:30:07.447,24
pingSingle,N/A,-1,p0g2,1522690207482,20:30:07.482,17
pingSingle,N/A,-1,p1g2,1522690207492,20:30:07.492,13
pingSingle,N/A,-1,p0g2,1522690207529,20:30:07.529,23
pingSingle,N/A,-1,p1g2,1522690207529,20:30:07.529,2
pingSingle,N/A,-1,p0g2,1522690207559,20:30:07.559,16
pingSingle,N/A,-1,p1g2,1522690207571,20:30:07.571,9
pingSingle,N/A,-1,p0g2,1522690207599,20:30:07.599,13
pingSingle,N/A,-1,p1g2,1522690207610,20:30:07.610,1
pingSingle,N/A,-1,p0g2,1522690207639,20:30:07.639,15
pingSingle,N/A,-1,p1g2,1522690207650,20:30:07.650,8
pingSingle,N/A,-1,p0g2,1522690207680,20:30:07.680,16
pingSingle,N/A,-1,p1g2,1522690207692,20:30:07.692,13
pingSingle,N/A,-1,p0g2,1522690207720,20:30:07.720,14
