[stage23:51827] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_plm_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
[stage23:51827] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_ras_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
2018-04-03 21:36:58 [main] MPIMain.main()
INFO: Args received: [1, false]
[INFO] 21:36:59:121 config.GlobalConfig.init(): Init [MPI_CONNECTION, isSingleJVM:false]
[INFO] 21:36:59:438 config.GlobalConfig.registerRole(): Registering role: Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=false}
[INFO] 21:36:59:635 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=0, groupId=1}] registered on role [Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=true}]
[INFO] 21:36:59:635 role.Node.<init>(): Node created: Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=true}
[INFO] 21:36:59:639 testframework.TestFramework._doPingTests(): Starting ping-pong tests...
[INFO] 21:37:01:600 testframework.TestFramework._doPingTests(): Ping tests are done!
[INFO] 21:37:01:693 config.GlobalConfig.end(): Finalized [MPI_CONNECTION]
------------------------------ TEST GROUP: pingAllIntermediate
testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,warmup,50,p0g1,1522780619928,21:36:59.928,288
pingAllIntermediate,warmup,50,p0g1,1522780619949,21:36:59.949,20
pingAllIntermediate,warmup,50,p0g1,1522780619967,21:36:59.967,18
pingAllIntermediate,warmup,50,p0g1,1522780620000,21:37:00.000,32
pingAllIntermediate,warmup,50,p0g1,1522780620023,21:37:00.023,22
pingAllIntermediate,warmup,50,p0g1,1522780620046,21:37:00.046,22
pingAllIntermediate,warmup,50,p0g1,1522780620056,21:37:00.056,9
pingAllIntermediate,warmup,50,p0g1,1522780620079,21:37:00.079,22
pingAllIntermediate,warmup,50,p0g1,1522780620086,21:37:00.086,6
pingAllIntermediate,warmup,50,p0g1,1522780620123,21:37:00.123,35
pingAllIntermediate,warmup,50,p0g1,1522780620150,21:37:00.150,26
pingAllIntermediate,warmup,50,p0g1,1522780620155,21:37:00.155,4
pingAllIntermediate,warmup,50,p0g1,1522780620165,21:37:00.165,10
pingAllIntermediate,warmup,50,p0g1,1522780620174,21:37:00.174,7
pingAllIntermediate,warmup,50,p0g1,1522780620182,21:37:00.182,7
pingAllIntermediate,warmup,50,p0g1,1522780620195,21:37:00.195,12
pingAllIntermediate,warmup,50,p0g1,1522780620200,21:37:00.200,5
pingAllIntermediate,warmup,50,p0g1,1522780620209,21:37:00.209,9
pingAllIntermediate,warmup,50,p0g1,1522780620215,21:37:00.215,6
pingAllIntermediate,warmup,50,p0g1,1522780620265,21:37:00.265,49
pingAllIntermediate,warmup,50,p0g1,1522780620275,21:37:00.275,10
pingAllIntermediate,warmup,50,p0g1,1522780620279,21:37:00.279,4
pingAllIntermediate,warmup,50,p0g1,1522780620287,21:37:00.287,8
pingAllIntermediate,warmup,50,p0g1,1522780620296,21:37:00.296,9
pingAllIntermediate,warmup,50,p0g1,1522780620300,21:37:00.300,4
pingAllIntermediate,warmup,50,p0g1,1522780620315,21:37:00.315,15
pingAllIntermediate,warmup,50,p0g1,1522780620332,21:37:00.332,17
pingAllIntermediate,warmup,50,p0g1,1522780620347,21:37:00.347,15
pingAllIntermediate,warmup,50,p0g1,1522780620349,21:37:00.349,2
pingAllIntermediate,warmup,50,p0g1,1522780620359,21:37:00.359,9
pingAllIntermediate,warmup,50,p0g1,1522780620361,21:37:00.361,2
pingAllIntermediate,warmup,50,p0g1,1522780620367,21:37:00.367,6
pingAllIntermediate,warmup,50,p0g1,1522780620370,21:37:00.370,3
pingAllIntermediate,warmup,50,p0g1,1522780620374,21:37:00.374,4
pingAllIntermediate,warmup,50,p0g1,1522780620377,21:37:00.377,3
pingAllIntermediate,warmup,50,p0g1,1522780620381,21:37:00.381,4
pingAllIntermediate,warmup,50,p0g1,1522780620384,21:37:00.384,3
pingAllIntermediate,warmup,50,p0g1,1522780620386,21:37:00.386,2
pingAllIntermediate,warmup,50,p0g1,1522780620389,21:37:00.389,3
pingAllIntermediate,warmup,50,p0g1,1522780620390,21:37:00.390,1
pingAllIntermediate,warmup,50,p0g1,1522780620406,21:37:00.406,16
pingAllIntermediate,warmup,50,p0g1,1522780620411,21:37:00.411,5
pingAllIntermediate,warmup,50,p0g1,1522780620426,21:37:00.426,15
pingAllIntermediate,warmup,50,p0g1,1522780620428,21:37:00.428,2
pingAllIntermediate,warmup,50,p0g1,1522780620441,21:37:00.441,13
pingAllIntermediate,warmup,50,p0g1,1522780620448,21:37:00.448,7
pingAllIntermediate,warmup,50,p0g1,1522780620464,21:37:00.464,16
pingAllIntermediate,warmup,50,p0g1,1522780620474,21:37:00.474,10
pingAllIntermediate,warmup,50,p0g1,1522780620477,21:37:00.477,3
pingAllIntermediate,warmup,50,p0g1,1522780620479,21:37:00.479,2
------------------------------ TEST GROUP: pingAll
testGroup,phase,timestamp,time,iterations,resultsTotal,numProcs,avgLatency
pingAll,warmup,1522780620480,21:37:00.480,50,50,1,16
------------------------------ TEST GROUP: pingAllIntermediate
testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,full-load,100,p0g1,1522780620484,21:37:00.484,4
pingAllIntermediate,full-load,100,p0g1,1522780620486,21:37:00.486,2
pingAllIntermediate,full-load,100,p0g1,1522780620490,21:37:00.490,4
pingAllIntermediate,full-load,100,p0g1,1522780620499,21:37:00.499,9
pingAllIntermediate,full-load,100,p0g1,1522780620523,21:37:00.523,24
pingAllIntermediate,full-load,100,p0g1,1522780620526,21:37:00.526,3
pingAllIntermediate,full-load,100,p0g1,1522780620527,21:37:00.527,1
pingAllIntermediate,full-load,100,p0g1,1522780620529,21:37:00.529,2
pingAllIntermediate,full-load,100,p0g1,1522780620532,21:37:00.532,3
pingAllIntermediate,full-load,100,p0g1,1522780620542,21:37:00.542,10
pingAllIntermediate,full-load,100,p0g1,1522780620543,21:37:00.543,1
pingAllIntermediate,full-load,100,p0g1,1522780620546,21:37:00.546,3
pingAllIntermediate,full-load,100,p0g1,1522780620550,21:37:00.550,4
pingAllIntermediate,full-load,100,p0g1,1522780620579,21:37:00.579,29
pingAllIntermediate,full-load,100,p0g1,1522780620622,21:37:00.622,43
pingAllIntermediate,full-load,100,p0g1,1522780620661,21:37:00.661,39
pingAllIntermediate,full-load,100,p0g1,1522780620695,21:37:00.695,34
pingAllIntermediate,full-load,100,p0g1,1522780620737,21:37:00.737,41
pingAllIntermediate,full-load,100,p0g1,1522780620762,21:37:00.762,25
pingAllIntermediate,full-load,100,p0g1,1522780620799,21:37:00.799,37
pingAllIntermediate,full-load,100,p0g1,1522780620822,21:37:00.822,23
pingAllIntermediate,full-load,100,p0g1,1522780620855,21:37:00.855,33
