testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,full-load,100,p0g1,1522780620484,21:37:00.484,4
pingAllIntermediate,full-load,100,p0g1,1522780620486,21:37:00.486,2
pingAllIntermediate,full-load,100,p0g1,1522780620490,21:37:00.490,4
pingAllIntermediate,full-load,100,p0g1,1522780620499,21:37:00.499,9
pingAllIntermediate,full-load,100,p0g1,1522780620523,21:37:00.523,24
pingAllIntermediate,full-load,100,p0g1,1522780620526,21:37:00.526,3
pingAllIntermediate,full-load,100,p0g1,1522780620527,21:37:00.527,1
pingAllIntermediate,full-load,100,p0g1,1522780620529,21:37:00.529,2
pingAllIntermediate,full-load,100,p0g1,1522780620532,21:37:00.532,3
pingAllIntermediate,full-load,100,p0g1,1522780620542,21:37:00.542,10
pingAllIntermediate,full-load,100,p0g1,1522780620543,21:37:00.543,1
pingAllIntermediate,full-load,100,p0g1,1522780620546,21:37:00.546,3
pingAllIntermediate,full-load,100,p0g1,1522780620550,21:37:00.550,4
pingAllIntermediate,full-load,100,p0g1,1522780620579,21:37:00.579,29
pingAllIntermediate,full-load,100,p0g1,1522780620622,21:37:00.622,43
pingAllIntermediate,full-load,100,p0g1,1522780620661,21:37:00.661,39
pingAllIntermediate,full-load,100,p0g1,1522780620695,21:37:00.695,34
pingAllIntermediate,full-load,100,p0g1,1522780620737,21:37:00.737,41
pingAllIntermediate,full-load,100,p0g1,1522780620762,21:37:00.762,25
pingAllIntermediate,full-load,100,p0g1,1522780620799,21:37:00.799,37
pingAllIntermediate,full-load,100,p0g1,1522780620822,21:37:00.822,23
pingAllIntermediate,full-load,100,p0g1,1522780620855,21:37:00.855,33
pingAllIntermediate,full-load,100,p0g1,1522780620875,21:37:00.875,20
pingAllIntermediate,full-load,100,p0g1,1522780620915,21:37:00.915,40
pingAllIntermediate,full-load,100,p0g1,1522780620951,21:37:00.951,36
pingAllIntermediate,full-load,100,p0g1,1522780620975,21:37:00.975,24
pingAllIntermediate,full-load,100,p0g1,1522780620997,21:37:00.997,22
pingAllIntermediate,full-load,100,p0g1,1522780621022,21:37:01.022,25
pingAllIntermediate,full-load,100,p0g1,1522780621055,21:37:01.055,33
pingAllIntermediate,full-load,100,p0g1,1522780621074,21:37:01.074,19
pingAllIntermediate,full-load,100,p0g1,1522780621100,21:37:01.100,26
pingAllIntermediate,full-load,100,p0g1,1522780621136,21:37:01.136,36
pingAllIntermediate,full-load,100,p0g1,1522780621176,21:37:01.176,40
pingAllIntermediate,full-load,100,p0g1,1522780621215,21:37:01.215,39
pingAllIntermediate,full-load,100,p0g1,1522780621255,21:37:01.255,40
pingAllIntermediate,full-load,100,p0g1,1522780621272,21:37:01.272,17
pingAllIntermediate,full-load,100,p0g1,1522780621287,21:37:01.287,15
pingAllIntermediate,full-load,100,p0g1,1522780621301,21:37:01.301,14
pingAllIntermediate,full-load,100,p0g1,1522780621302,21:37:01.302,1
pingAllIntermediate,full-load,100,p0g1,1522780621303,21:37:01.303,1
pingAllIntermediate,full-load,100,p0g1,1522780621305,21:37:01.305,2
pingAllIntermediate,full-load,100,p0g1,1522780621310,21:37:01.310,5
pingAllIntermediate,full-load,100,p0g1,1522780621311,21:37:01.311,1
pingAllIntermediate,full-load,100,p0g1,1522780621313,21:37:01.313,2
pingAllIntermediate,full-load,100,p0g1,1522780621315,21:37:01.315,2
pingAllIntermediate,full-load,100,p0g1,1522780621325,21:37:01.325,10
pingAllIntermediate,full-load,100,p0g1,1522780621342,21:37:01.342,17
pingAllIntermediate,full-load,100,p0g1,1522780621344,21:37:01.344,2
pingAllIntermediate,full-load,100,p0g1,1522780621346,21:37:01.346,2
pingAllIntermediate,full-load,100,p0g1,1522780621354,21:37:01.354,8
pingAllIntermediate,full-load,100,p0g1,1522780621356,21:37:01.356,2
pingAllIntermediate,full-load,100,p0g1,1522780621359,21:37:01.359,3
pingAllIntermediate,full-load,100,p0g1,1522780621360,21:37:01.360,1
pingAllIntermediate,full-load,100,p0g1,1522780621373,21:37:01.373,13
pingAllIntermediate,full-load,100,p0g1,1522780621376,21:37:01.376,3
pingAllIntermediate,full-load,100,p0g1,1522780621378,21:37:01.378,2
pingAllIntermediate,full-load,100,p0g1,1522780621389,21:37:01.389,11
pingAllIntermediate,full-load,100,p0g1,1522780621420,21:37:01.420,31
pingAllIntermediate,full-load,100,p0g1,1522780621455,21:37:01.455,35
pingAllIntermediate,full-load,100,p0g1,1522780621474,21:37:01.474,19
pingAllIntermediate,full-load,100,p0g1,1522780621476,21:37:01.476,2
pingAllIntermediate,full-load,100,p0g1,1522780621478,21:37:01.478,2
pingAllIntermediate,full-load,100,p0g1,1522780621480,21:37:01.480,2
pingAllIntermediate,full-load,100,p0g1,1522780621485,21:37:01.485,5
pingAllIntermediate,full-load,100,p0g1,1522780621488,21:37:01.488,3
pingAllIntermediate,full-load,100,p0g1,1522780621490,21:37:01.490,2
pingAllIntermediate,full-load,100,p0g1,1522780621494,21:37:01.494,4
pingAllIntermediate,full-load,100,p0g1,1522780621495,21:37:01.495,1
pingAllIntermediate,full-load,100,p0g1,1522780621497,21:37:01.497,2
pingAllIntermediate,full-load,100,p0g1,1522780621499,21:37:01.499,2
pingAllIntermediate,full-load,100,p0g1,1522780621501,21:37:01.501,2
pingAllIntermediate,full-load,100,p0g1,1522780621503,21:37:01.503,2
pingAllIntermediate,full-load,100,p0g1,1522780621508,21:37:01.508,5
pingAllIntermediate,full-load,100,p0g1,1522780621509,21:37:01.509,1
pingAllIntermediate,full-load,100,p0g1,1522780621512,21:37:01.512,3
pingAllIntermediate,full-load,100,p0g1,1522780621518,21:37:01.518,6
pingAllIntermediate,full-load,100,p0g1,1522780621523,21:37:01.523,5
pingAllIntermediate,full-load,100,p0g1,1522780621531,21:37:01.531,8
pingAllIntermediate,full-load,100,p0g1,1522780621543,21:37:01.543,12
pingAllIntermediate,full-load,100,p0g1,1522780621544,21:37:01.544,1
pingAllIntermediate,full-load,100,p0g1,1522780621556,21:37:01.556,12
pingAllIntermediate,full-load,100,p0g1,1522780621557,21:37:01.557,1
pingAllIntermediate,full-load,100,p0g1,1522780621557,21:37:01.557,0
pingAllIntermediate,full-load,100,p0g1,1522780621559,21:37:01.559,2
pingAllIntermediate,full-load,100,p0g1,1522780621561,21:37:01.561,2
pingAllIntermediate,full-load,100,p0g1,1522780621573,21:37:01.573,12
pingAllIntermediate,full-load,100,p0g1,1522780621575,21:37:01.575,2
pingAllIntermediate,full-load,100,p0g1,1522780621576,21:37:01.576,1
pingAllIntermediate,full-load,100,p0g1,1522780621577,21:37:01.577,1
pingAllIntermediate,full-load,100,p0g1,1522780621581,21:37:01.581,4
pingAllIntermediate,full-load,100,p0g1,1522780621583,21:37:01.583,2
pingAllIntermediate,full-load,100,p0g1,1522780621586,21:37:01.586,3
pingAllIntermediate,full-load,100,p0g1,1522780621587,21:37:01.587,1
pingAllIntermediate,full-load,100,p0g1,1522780621588,21:37:01.588,1
pingAllIntermediate,full-load,100,p0g1,1522780621589,21:37:01.589,1
pingAllIntermediate,full-load,100,p0g1,1522780621590,21:37:01.590,1
pingAllIntermediate,full-load,100,p0g1,1522780621592,21:37:01.592,2
pingAllIntermediate,full-load,100,p0g1,1522780621593,21:37:01.593,1
pingAllIntermediate,full-load,100,p0g1,1522780621595,21:37:01.595,2
pingAllIntermediate,full-load,100,p0g1,1522780621598,21:37:01.598,2
