[stage42:42974] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_plm_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
[stage42:42974] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_ras_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
2018-04-03 21:23:25 [main] MPIMain.main()
INFO: Args received: [2, false]
2018-04-03 21:23:25 [main] MPIMain.main()
INFO: Args received: [2, false]
[INFO] 21:23:25:796 config.GlobalConfig.init(): Init [MPI_CONNECTION, isSingleJVM:false]
[INFO] 21:23:25:837 config.GlobalConfig.init(): Init [MPI_CONNECTION, isSingleJVM:false]
[INFO] 21:23:26:141 config.GlobalConfig.registerRole(): Registering role: Role{roleId='p0g2', myAddress=MPIAddress{rank=0, groupId=2}, isLeader=false}
[INFO] 21:23:26:169 config.GlobalConfig.registerRole(): Registering role: Role{roleId='p1g2', myAddress=MPIAddress{rank=1, groupId=2}, isLeader=false}
[INFO] 21:23:26:319 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=0, groupId=2}] registered on role [Role{roleId='p0g2', myAddress=MPIAddress{rank=0, groupId=2}, isLeader=true}]
[INFO] 21:23:26:320 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=1, groupId=2}] registered on role [Role{roleId='p0g2', myAddress=MPIAddress{rank=0, groupId=2}, isLeader=true}]
[INFO] 21:23:26:320 role.Node.<init>(): Node created: Role{roleId='p0g2', myAddress=MPIAddress{rank=0, groupId=2}, isLeader=true}
[INFO] 21:23:26:325 testframework.TestFramework._doPingTests(): Starting ping-pong tests...
[INFO] 21:23:26:353 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=1, groupId=2}] registered on role [Role{roleId='p1g2', myAddress=MPIAddress{rank=1, groupId=2}, isLeader=true}]
[INFO] 21:23:26:353 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=0, groupId=2}] registered on role [Role{roleId='p1g2', myAddress=MPIAddress{rank=1, groupId=2}, isLeader=false}]
[INFO] 21:23:26:354 role.Node.<init>(): Node created: Role{roleId='p1g2', myAddress=MPIAddress{rank=1, groupId=2}, isLeader=false}
[INFO] 21:23:28:852 testframework.TestFramework._doPingTests(): Ping tests are done!
[INFO] 21:23:28:923 config.GlobalConfig.end(): Finalized [MPI_CONNECTION]
------------------------------ TEST GROUP: pingAllIntermediate
testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,warmup,50,p0g2,1522779806804,21:23:26.804,478
pingAllIntermediate,warmup,50,p0g2,1522779806830,21:23:26.830,25
pingAllIntermediate,warmup,50,p0g2,1522779806863,21:23:26.863,32
pingAllIntermediate,warmup,50,p0g2,1522779806898,21:23:26.898,35
pingAllIntermediate,warmup,50,p0g2,1522779806918,21:23:26.918,19
pingAllIntermediate,warmup,50,p0g2,1522779806944,21:23:26.944,25
pingAllIntermediate,warmup,50,p0g2,1522779806989,21:23:26.989,45
pingAllIntermediate,warmup,50,p0g2,1522779807029,21:23:27.029,40
pingAllIntermediate,warmup,50,p0g2,1522779807046,21:23:27.046,16
pingAllIntermediate,warmup,50,p0g2,1522779807071,21:23:27.071,25
pingAllIntermediate,warmup,50,p0g2,1522779807094,21:23:27.094,23
pingAllIntermediate,warmup,50,p0g2,1522779807120,21:23:27.120,26
pingAllIntermediate,warmup,50,p0g2,1522779807149,21:23:27.149,29
pingAllIntermediate,warmup,50,p0g2,1522779807217,21:23:27.217,68
pingAllIntermediate,warmup,50,p0g2,1522779807231,21:23:27.231,14
pingAllIntermediate,warmup,50,p0g2,1522779807253,21:23:27.253,22
pingAllIntermediate,warmup,50,p0g2,1522779807266,21:23:27.266,13
pingAllIntermediate,warmup,50,p0g2,1522779807277,21:23:27.277,11
pingAllIntermediate,warmup,50,p0g2,1522779807300,21:23:27.300,23
pingAllIntermediate,warmup,50,p0g2,1522779807309,21:23:27.309,9
pingAllIntermediate,warmup,50,p0g2,1522779807349,21:23:27.349,40
pingAllIntermediate,warmup,50,p0g2,1522779807383,21:23:27.383,34
pingAllIntermediate,warmup,50,p0g2,1522779807386,21:23:27.386,3
pingAllIntermediate,warmup,50,p0g2,1522779807393,21:23:27.393,7
pingAllIntermediate,warmup,50,p0g2,1522779807400,21:23:27.400,7
pingAllIntermediate,warmup,50,p0g2,1522779807407,21:23:27.407,7
pingAllIntermediate,warmup,50,p0g2,1522779807412,21:23:27.412,5
pingAllIntermediate,warmup,50,p0g2,1522779807415,21:23:27.415,3
pingAllIntermediate,warmup,50,p0g2,1522779807431,21:23:27.431,16
pingAllIntermediate,warmup,50,p0g2,1522779807436,21:23:27.436,5
pingAllIntermediate,warmup,50,p0g2,1522779807452,21:23:27.452,16
pingAllIntermediate,warmup,50,p0g2,1522779807457,21:23:27.457,5
pingAllIntermediate,warmup,50,p0g2,1522779807468,21:23:27.468,11
