[stage17:59130] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_plm_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
[stage17:59130] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_ras_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
2018-04-03 22:18:19 [main] MPIMain.main()
INFO: Args received: [1, false]
2018-04-03 22:18:19 [main] MPIMain.main()
INFO: Args received: [1, false]
[INFO] 22:18:19:522 config.GlobalConfig.init(): Init [MPI_CONNECTION, isSingleJVM:false]
[INFO] 22:18:19:563 config.GlobalConfig.init(): Init [MPI_CONNECTION, isSingleJVM:false]
[INFO] 22:18:19:854 config.GlobalConfig.registerRole(): Registering role: Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=false}
[INFO] 22:18:19:876 config.GlobalConfig.registerRole(): Registering role: Role{roleId='p1g1', myAddress=MPIAddress{rank=1, groupId=1}, isLeader=false}
[INFO] 22:18:20:056 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=0, groupId=1}] registered on role [Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=true}]
[INFO] 22:18:20:057 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=1, groupId=1}] registered on role [Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=true}]
[INFO] 22:18:20:057 role.Node.<init>(): Node created: Role{roleId='p0g1', myAddress=MPIAddress{rank=0, groupId=1}, isLeader=true}
[INFO] 22:18:20:061 testframework.TestFramework._doPingTests(): Starting ping-pong tests...
[INFO] 22:18:20:071 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=1, groupId=1}] registered on role [Role{roleId='p1g1', myAddress=MPIAddress{rank=1, groupId=1}, isLeader=true}]
[INFO] 22:18:20:071 config.GlobalConfig.registerAddress(): Address [MPIAddress{rank=0, groupId=1}] registered on role [Role{roleId='p1g1', myAddress=MPIAddress{rank=1, groupId=1}, isLeader=false}]
[INFO] 22:18:20:072 role.Node.<init>(): Node created: Role{roleId='p1g1', myAddress=MPIAddress{rank=1, groupId=1}, isLeader=false}
[INFO] 22:18:22:475 testframework.TestFramework._doPingTests(): Ping tests are done!
[INFO] 22:18:22:572 config.GlobalConfig.end(): Finalized [MPI_CONNECTION]
------------------------------ TEST GROUP: pingAllIntermediate
testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,warmup,50,p0g1,1522783100530,22:18:20.530,468
pingAllIntermediate,warmup,50,p0g1,1522783100557,22:18:20.557,26
pingAllIntermediate,warmup,50,p0g1,1522783100590,22:18:20.590,32
pingAllIntermediate,warmup,50,p0g1,1522783100652,22:18:20.652,61
pingAllIntermediate,warmup,50,p0g1,1522783100686,22:18:20.686,14
pingAllIntermediate,warmup,50,p0g1,1522783100709,22:18:20.709,21
pingAllIntermediate,warmup,50,p0g1,1522783100830,22:18:20.830,121
pingAllIntermediate,warmup,50,p0g1,1522783100861,22:18:20.861,30
pingAllIntermediate,warmup,50,p0g1,1522783100872,22:18:20.872,11
pingAllIntermediate,warmup,50,p0g1,1522783100885,22:18:20.885,13
pingAllIntermediate,warmup,50,p0g1,1522783100905,22:18:20.905,20
pingAllIntermediate,warmup,50,p0g1,1522783100923,22:18:20.923,17
pingAllIntermediate,warmup,50,p0g1,1522783100959,22:18:20.959,36
pingAllIntermediate,warmup,50,p0g1,1522783100996,22:18:20.996,24
pingAllIntermediate,warmup,50,p0g1,1522783101002,22:18:21.002,6
pingAllIntermediate,warmup,50,p0g1,1522783101019,22:18:21.019,17
pingAllIntermediate,warmup,50,p0g1,1522783101028,22:18:21.028,9
pingAllIntermediate,warmup,50,p0g1,1522783101036,22:18:21.036,8
pingAllIntermediate,warmup,50,p0g1,1522783101058,22:18:21.058,22
pingAllIntermediate,warmup,50,p0g1,1522783101066,22:18:21.066,8
pingAllIntermediate,warmup,50,p0g1,1522783101091,22:18:21.091,25
pingAllIntermediate,warmup,50,p0g1,1522783101110,22:18:21.110,19
pingAllIntermediate,warmup,50,p0g1,1522783101112,22:18:21.112,2
pingAllIntermediate,warmup,50,p0g1,1522783101119,22:18:21.119,7
pingAllIntermediate,warmup,50,p0g1,1522783101124,22:18:21.124,5
pingAllIntermediate,warmup,50,p0g1,1522783101129,22:18:21.129,5
pingAllIntermediate,warmup,50,p0g1,1522783101136,22:18:21.136,7
pingAllIntermediate,warmup,50,p0g1,1522783101142,22:18:21.142,6
pingAllIntermediate,warmup,50,p0g1,1522783101158,22:18:21.158,16
pingAllIntermediate,warmup,50,p0g1,1522783101172,22:18:21.172,14
pingAllIntermediate,warmup,50,p0g1,1522783101182,22:18:21.182,10
pingAllIntermediate,warmup,50,p0g1,1522783101188,22:18:21.188,6
pingAllIntermediate,warmup,50,p0g1,1522783101195,22:18:21.195,7
