testGroup,phase,iterations,pid,timestamp,time,latency
pingSingle,N/A,-1,p0g1,1522690203141,20:30:03.141,36
pingSingle,N/A,-1,p0g1,1522690203215,20:30:03.215,35
pingSingle,N/A,-1,p0g1,1522690203298,20:30:03.298,36
pingSingle,N/A,-1,p0g1,1522690203397,20:30:03.397,60
pingSingle,N/A,-1,p0g1,1522690203467,20:30:03.467,30
pingSingle,N/A,-1,p0g1,1522690203580,20:30:03.580,62
pingSingle,N/A,-1,p0g1,1522690203658,20:30:03.658,35
pingSingle,N/A,-1,p0g1,1522690203757,20:30:03.757,53
pingSingle,N/A,-1,p0g1,1522690203824,20:30:03.824,19
pingSingle,N/A,-1,p0g1,1522690204056,20:30:04.056,176
pingSingle,N/A,-1,p0g1,1522690204137,20:30:04.137,35
pingSingle,N/A,-1,p0g1,1522690204217,20:30:04.217,43
pingSingle,N/A,-1,p0g1,1522690204283,20:30:04.283,21
pingSingle,N/A,-1,p0g1,1522690204356,20:30:04.356,39
pingSingle,N/A,-1,p0g1,1522690204417,20:30:04.417,21
pingSingle,N/A,-1,p0g1,1522690204483,20:30:04.483,22
pingSingle,N/A,-1,p0g1,1522690204563,20:30:04.563,45
pingSingle,N/A,-1,p0g1,1522690204636,20:30:04.636,35
pingSingle,N/A,-1,p0g1,1522690204697,20:30:04.697,23
pingSingle,N/A,-1,p0g1,1522690204775,20:30:04.775,33
pingSingle,N/A,-1,p0g1,1522690204819,20:30:04.819,20
pingSingle,N/A,-1,p0g1,1522690204843,20:30:04.843,15
pingSingle,N/A,-1,p0g1,1522690204876,20:30:04.876,17
pingSingle,N/A,-1,p0g1,1522690204898,20:30:04.898,14
pingSingle,N/A,-1,p0g1,1522690204938,20:30:04.938,15
pingSingle,N/A,-1,p0g1,1522690204979,20:30:04.979,21
pingSingle,N/A,-1,p0g1,1522690205035,20:30:05.035,37
pingSingle,N/A,-1,p0g1,1522690205076,20:30:05.076,20
pingSingle,N/A,-1,p0g1,1522690205098,20:30:05.098,13
pingSingle,N/A,-1,p0g1,1522690205144,20:30:05.144,27
pingSingle,N/A,-1,p0g1,1522690205177,20:30:05.177,18
pingSingle,N/A,-1,p0g1,1522690205201,20:30:05.201,17
pingSingle,N/A,-1,p0g1,1522690205238,20:30:05.238,21
pingSingle,N/A,-1,p0g1,1522690205276,20:30:05.276,19
pingSingle,N/A,-1,p0g1,1522690205297,20:30:05.297,13
pingSingle,N/A,-1,p0g1,1522690205319,20:30:05.319,14
pingSingle,N/A,-1,p0g1,1522690205358,20:30:05.358,18
pingSingle,N/A,-1,p0g1,1522690205422,20:30:05.422,18
pingSingle,N/A,-1,p0g1,1522690205484,20:30:05.484,43
pingSingle,N/A,-1,p0g1,1522690205520,20:30:05.520,16
pingSingle,N/A,-1,p0g1,1522690205544,20:30:05.544,12
pingSingle,N/A,-1,p0g1,1522690205577,20:30:05.577,20
pingSingle,N/A,-1,p0g1,1522690205627,20:30:05.627,30
pingSingle,N/A,-1,p0g1,1522690205657,20:30:05.657,17
pingSingle,N/A,-1,p0g1,1522690205706,20:30:05.706,29
pingSingle,N/A,-1,p0g1,1522690205754,20:30:05.754,34
pingSingle,N/A,-1,p0g1,1522690205777,20:30:05.777,13
pingSingle,N/A,-1,p0g1,1522690205797,20:30:05.797,13
pingSingle,N/A,-1,p0g1,1522690205818,20:30:05.818,14
pingSingle,N/A,-1,p0g1,1522690205840,20:30:05.840,13
pingSingle,N/A,-1,p0g1,1522690205877,20:30:05.877,18
pingSingle,N/A,-1,p0g1,1522690205917,20:30:05.917,18
pingSingle,N/A,-1,p0g1,1522690205944,20:30:05.944,12
pingSingle,N/A,-1,p0g1,1522690205978,20:30:05.978,20
pingSingle,N/A,-1,p0g1,1522690206017,20:30:06.017,20
pingSingle,N/A,-1,p0g1,1522690206044,20:30:06.044,20
pingSingle,N/A,-1,p0g1,1522690206077,20:30:06.077,20
pingSingle,N/A,-1,p0g1,1522690206097,20:30:06.097,13
pingSingle,N/A,-1,p0g1,1522690206131,20:30:06.131,7
pingSingle,N/A,-1,p0g1,1522690206173,20:30:06.173,20
pingSingle,N/A,-1,p0g1,1522690206204,20:30:06.204,7
pingSingle,N/A,-1,p0g1,1522690206244,20:30:06.244,20
pingSingle,N/A,-1,p0g1,1522690206273,20:30:06.273,19
pingSingle,N/A,-1,p0g1,1522690206318,20:30:06.318,21
pingSingle,N/A,-1,p0g1,1522690206358,20:30:06.358,14
pingSingle,N/A,-1,p0g1,1522690206393,20:30:06.393,20
pingSingle,N/A,-1,p0g1,1522690206424,20:30:06.424,7
pingSingle,N/A,-1,p0g1,1522690206466,20:30:06.466,26
pingSingle,N/A,-1,p0g1,1522690206512,20:30:06.512,30
pingSingle,N/A,-1,p0g1,1522690206553,20:30:06.553,21
pingSingle,N/A,-1,p0g1,1522690206584,20:30:06.584,7
pingSingle,N/A,-1,p0g1,1522690206622,20:30:06.622,20
pingSingle,N/A,-1,p0g1,1522690206671,20:30:06.671,30
pingSingle,N/A,-1,p0g1,1522690206697,20:30:06.697,14
pingSingle,N/A,-1,p0g1,1522690206732,20:30:06.732,15
pingSingle,N/A,-1,p0g1,1522690206760,20:30:06.760,15
pingSingle,N/A,-1,p0g1,1522690206797,20:30:06.797,20
pingSingle,N/A,-1,p0g1,1522690206832,20:30:06.832,15
pingSingle,N/A,-1,p0g1,1522690206857,20:30:06.857,13
pingSingle,N/A,-1,p0g1,1522690206897,20:30:06.897,20
pingSingle,N/A,-1,p0g1,1522690206917,20:30:06.917,13
pingSingle,N/A,-1,p0g1,1522690206944,20:30:06.944,20
pingSingle,N/A,-1,p0g1,1522690206978,20:30:06.978,15
pingSingle,N/A,-1,p0g1,1522690207017,20:30:07.017,20
pingSingle,N/A,-1,p0g1,1522690207044,20:30:07.044,12
pingSingle,N/A,-1,p0g1,1522690207090,20:30:07.090,31
pingSingle,N/A,-1,p0g1,1522690207119,20:30:07.119,14
pingSingle,N/A,-1,p0g1,1522690207144,20:30:07.144,12
pingSingle,N/A,-1,p0g1,1522690207177,20:30:07.177,19
pingSingle,N/A,-1,p0g1,1522690207197,20:30:07.197,13
pingSingle,N/A,-1,p0g1,1522690207218,20:30:07.218,14
pingSingle,N/A,-1,p0g1,1522690207244,20:30:07.244,12
pingSingle,N/A,-1,p0g1,1522690207284,20:30:07.284,9
pingSingle,N/A,-1,p0g1,1522690207317,20:30:07.317,13
pingSingle,N/A,-1,p0g1,1522690207344,20:30:07.344,11
pingSingle,N/A,-1,p0g1,1522690207387,20:30:07.387,30
pingSingle,N/A,-1,p0g1,1522690207414,20:30:07.414,10
pingSingle,N/A,-1,p0g1,1522690207433,20:30:07.433,9
pingSingle,N/A,-1,p0g1,1522690207457,20:30:07.457,13
pingSingle,N/A,-1,p0g1,1522690207477,20:30:07.477,13
pingSingle,N/A,-1,p0g1,1522690207498,20:30:07.498,14
pingSingle,N/A,-1,p0g1,1522690207533,20:30:07.533,16
pingSingle,N/A,-1,p0g1,1522690207559,20:30:07.559,13
pingSingle,N/A,-1,p0g1,1522690207597,20:30:07.597,20
pingSingle,N/A,-1,p0g1,1522690207617,20:30:07.617,13
pingSingle,N/A,-1,p0g1,1522690207644,20:30:07.644,11
pingSingle,N/A,-1,p0g1,1522690207677,20:30:07.677,19
pingSingle,N/A,-1,p0g1,1522690207723,20:30:07.723,26
pingSingle,N/A,-1,p0g1,1522690207744,20:30:07.744,10
pingSingle,N/A,-1,p0g1,1522690207777,20:30:07.777,19
pingSingle,N/A,-1,p0g1,1522690207797,20:30:07.797,13
pingSingle,N/A,-1,p0g1,1522690207817,20:30:07.817,13
pingSingle,N/A,-1,p0g1,1522690207844,20:30:07.844,11
pingSingle,N/A,-1,p0g1,1522690207877,20:30:07.877,20
pingSingle,N/A,-1,p0g1,1522690207897,20:30:07.897,13
pingSingle,N/A,-1,p0g1,1522690207938,20:30:07.938,21
pingSingle,N/A,-1,p0g1,1522690208004,20:30:08.004,47
pingSingle,N/A,-1,p0g1,1522690208042,20:30:08.042,18
