# OSU MPI Latency Test v5.4.1
# Size          Latency (us)
0                       1.51
1                       1.53
2                       1.52
4                       1.52
8                       1.56
16                      1.57
32                      1.59
64                      1.91
128                     2.37
256                     2.67
512                     2.92
1024                    3.32
2048                    4.21
4096                    5.32
8192                    7.33
16384                   9.46
32768                  13.04
65536                  20.10
131072                 34.16
262144                 62.02
524288                117.92
1048576               229.72
2097152               453.96
4194304               901.49
