osu_latency test with java mpi
[stage16:26802] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_plm_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
[stage16:26802] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_ras_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
size(bytes),latency(us)
2,5.131
4,2.283
8,2.078
16,2.178
32,2.194
64,2.384
128,2.917
256,3.275
512,3.516
1024,4.038
2048,5.020
4096,6.134
8192,9.452
16384,17.145
32768,27.179
65536,46.181
131072,74.763
262144,132.792
524288,237.497
1048576,635.121
2097152,1839.624
4194304,3285.828
8388608,6591.357
osu_latency test with java mpi on tcp
[stage16:26872] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_plm_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
[stage16:26872] mca: base: component_find: unable to open /storage/software/openmpi-1.8.4/lib/openmpi/mca_ras_tm: libtorque.so.2: cannot open shared object file: No such file or directory (ignored)
size(bytes),latency(us)
2,19.762
4,17.576
8,16.118
16,16.002
32,16.238
64,17.155
128,17.722
256,17.867
512,17.696
1024,18.225
2048,23.552
4096,26.892
8192,31.987
16384,45.790
32768,63.084
65536,514.292
131072,932.139
262144,1508.573
524288,2474.304
1048576,4998.832
2097152,10806.928
4194304,25831.465
8388608,49250.185
